name,team,draft_pick,games,ppg,rpg,apg,spg,bpg,ts_pct,avg_game_score,source,production_raw,production_score,game_score_score,availability_score,efficiency_score,roy_score
Otega Oweh,Oklahoma City Thunder,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Ja'Kobi Gillespie,San Antonio Spurs,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Bilodeau,Brooklyn Nets,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Maliq Brown,San Antonio Spurs,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Emanuel Sharp,Sacramento Kings,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Felix Okpara,Washington Wizards,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Nickel,New York Knicks,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Tobi Lawal,Dallas Mavericks,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Hopkins,Denver Nuggets,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Bradley,Toronto Raptors,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Izaiyah Nelson,Orlando Magic,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Henri Veesaar,Atlanta Hawks,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Ugonna Onyenso,Detroit Pistons,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Lajae Jones,Golden State Warriors,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Nick Martinelli,LA Clippers,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Vsevolod Ishchenko,Dallas Mavericks,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Narcisse N'Goy,LA Clippers,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Jaron Pierre Jr.,New Orleans Pelicans,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Trey Kaufman-Renn,Minnesota Timberwolves,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
Malique Lewis,Milwaukee Bucks,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
