game_date,opponent,shot_made,shot_type,shot_zone,shot_x,shot_y,assisted,possession_type
2026-07-04,Hawks,1,FT,,,,0,
2026-07-04,Hawks,0,FT,,,,0,
2026-07-04,Hawks,1,FT,,,,0,
